@relation XYdata

@attribute x numeric
@attribute y numeric
@attribute z numeric
@attribute class {1, 2}

@data
0.484458,0.883382,-0.091576,1
0.395008,0.764278,-0.00216,1
-0.266027,1.036344,0.219614,1
-0.847894,0.119552,-0.068847,1
1.147454,0.258949,0.073574,1
-0.95039,0.4006,0.126046,1
-0.131057,0.690095,0.039653,1
-0.321718,1.078294,0.052582,1
0.127559,0.969378,0.075057,1
0.513361,0.851939,0.09356,1
0.512148,0.784392,0.011384,1
0.429833,0.809636,-0.007453,1
0.652802,0.837668,0.089211,1
-0.629365,0.959437,-0.090954,1
0.914349,0.379918,-0.099063,1
-1.064691,0.069207,-0.069766,1
0.257952,1.070646,0.053843,1
-0.35667,0.832357,0.037145,1
-0.907851,0.55285,0.111352,1
-0.822657,0.16793,0.198234,1
-0.929026,0.252746,0.168465,1
0.151818,1.075326,0.047977,1
-0.557005,0.764069,-0.097522,1
1.034001,0.166899,-0.01352,1
-0.467056,0.800285,0.195743,1
0.91626,0.288181,-0.070029,1
1.019276,0.266692,0.030516,1
0.168352,0.89891,-0.060569,1
0.870758,0.485894,-0.042737,1
0.538089,0.699549,-0.054493,1
0.858441,0.715588,0.123303,1
-0.465743,0.915098,-0.143567,1
0.468982,0.746338,-0.064111,1
-0.660801,0.899133,0.079003,1
-0.28335,0.925502,0.185678,1
0.766615,0.728163,-0.020592,1
0.228072,0.929663,0.010992,1
-1.004122,0.553318,0.136549,1
-0.238462,1.083081,-0.077626,1
-0.950824,0.400295,0.035407,1
0.50833,0.907638,0.035916,1
0.891728,0.523995,-0.004042,1
-0.655504,0.665437,-0.130242,1
0.609067,0.775887,0.054168,1
-0.643185,0.91639,0.027048,1
-0.86807,0.310786,-0.090822,1
0.806783,0.344537,0.05176,1
0.541445,0.913128,-0.005589,1
-0.281398,0.947479,0.021102,1
0.844053,0.791678,0.029929,1
-1.098073,0.460209,0.013252,1
1.046991,0.230635,0.087762,1
0.903626,0.485194,-0.136031,1
0.909367,0.56818,-0.033386,1
0.89529,0.562866,0.031902,1
0.813092,0.398053,0.033778,1
0.646057,0.727641,0.204824,1
-0.183269,0.999928,-0.028741,1
0.081099,0.867648,-0.125485,1
-0.32468,1.078936,0.007198,1
0.088917,1.119473,-0.16547,1
0.599393,0.758408,-0.09575,1
